-7.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.294000000000000000e+03
7.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.295000000000000000e+03
7.500000000000000000e+00,1.500000000000000000e+00,1.650000000000000000e+01,4.296000000000000000e+03
-7.500000000000000000e+00,1.500000000000000000e+00,1.650000000000000000e+01,4.297000000000000000e+03
9.000000000000000000e+00,1.500000000000000000e+00,1.800000000000000000e+01,4.298000000000000000e+03
-9.000000000000000000e+00,1.500000000000000000e+00,1.800000000000000000e+01,4.299000000000000000e+03
-9.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+03
9.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,4.301000000000000000e+03
-7.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.302000000000000000e+03
-6.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.303000000000000000e+03
-6.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.304000000000000000e+03
-5.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.305000000000000000e+03
-5.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.306000000000000000e+03
-4.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.307000000000000000e+03
-4.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.308000000000000000e+03
-3.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.309000000000000000e+03
-3.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.310000000000000000e+03
-2.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.311000000000000000e+03
-2.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.312000000000000000e+03
-1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.313000000000000000e+03
-1.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.314000000000000000e+03
-5.000000000000000000e-01,1.500000000000000000e+00,1.500000000000000000e+00,4.315000000000000000e+03
0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.316000000000000000e+03
5.000000000000000000e-01,1.500000000000000000e+00,1.500000000000000000e+00,4.317000000000000000e+03
1.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.318000000000000000e+03
1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,4.319000000000000000e+03
